# Ethyl Acetate  CAS 141-78-6
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
1970.0,4.857570e-03
1974.0,4.857570e-03
1978.0,4.497750e-03
1982.0,4.317840e-03
1986.0,4.677660e-03
1990.0,4.317840e-03
1994.0,5.577210e-03
1998.0,6.656670e-03
2002.0,7.376310e-03
2006.0,8.455770e-03
2010.0,9.535230e-03
2014.0,9.895050e-03
2018.0,9.715140e-03
2022.0,1.007496e-02
2026.0,9.355320e-03
2030.0,8.995500e-03
2034.0,8.275860e-03
2038.0,7.196400e-03
2042.0,7.016490e-03
2046.0,6.476760e-03
2050.0,6.836580e-03
2054.0,8.275860e-03
2058.0,8.635680e-03
2062.0,8.635680e-03
2066.0,9.715140e-03
2070.0,1.115442e-02
2074.0,1.115442e-02
2078.0,1.205397e-02
2082.0,1.223388e-02
2086.0,1.241379e-02
2090.0,1.241379e-02
2094.0,1.187406e-02
2098.0,1.079460e-02
2102.0,8.995500e-03
2106.0,6.476760e-03
2110.0,5.757120e-03
2114.0,4.497750e-03
2118.0,3.598200e-03
2122.0,3.058470e-03
2126.0,1.979010e-03
2130.0,2.698650e-03
2134.0,2.698650e-03
2138.0,3.058470e-03
2142.0,3.238380e-03
2146.0,3.598200e-03
2150.0,3.778110e-03
2154.0,3.958020e-03
2158.0,3.958020e-03
2162.0,3.418290e-03
2166.0,3.418290e-03
2170.0,2.698650e-03
2174.0,2.338830e-03
2178.0,2.158920e-03
2182.0,1.439280e-03
2186.0,1.619190e-03
2190.0,1.439280e-03
2194.0,1.619190e-03
2198.0,1.259370e-03
2202.0,1.079460e-03
2206.0,1.259370e-03
2210.0,1.439280e-03
2214.0,1.619190e-03
2218.0,2.158920e-03
2222.0,1.979010e-03
2226.0,2.338830e-03
2230.0,1.799100e-03
2234.0,2.158920e-03
2238.0,2.518740e-03
2242.0,2.158920e-03
2246.0,2.158920e-03
2250.0,1.799100e-03
2254.0,1.979010e-03
2258.0,1.799100e-03
2262.0,1.799100e-03
2266.0,1.619190e-03
2270.0,2.158920e-03
2274.0,2.338830e-03
2278.0,3.058470e-03
2282.0,2.698650e-03
2286.0,2.878560e-03
2290.0,3.598200e-03
2294.0,4.137930e-03
2298.0,3.958020e-03
2302.0,4.497750e-03
2306.0,4.137930e-03
2310.0,5.037480e-03
2314.0,4.137930e-03
2318.0,4.497750e-03
2322.0,4.317840e-03
2326.0,3.958020e-03
2330.0,2.698650e-03
2334.0,3.238380e-03
2338.0,1.979010e-03
